m,n,p,lambda,R
3601,6,0.9,0.0026764667670314923,0.0005204501891665304
3651,6,0.9,0.0026764667670314923,0.000527676656663983
3701,6,0.9,0.0026764667670314923,0.0005349031241614355
3751,6,0.9,0.0026764667670314923,0.0005421295916588879
3801,6,0.9,0.0026764667670314923,0.0005493560591563405
3851,6,0.9,0.0026764667670314923,0.0005565825266537931
3901,6,0.9,0.0026764667670314923,0.0005638089941512455
3951,6,0.9,0.0026764667670314923,0.0005710354616486981
4001,6,0.9,0.0026764667670314923,0.0005782619291461505
4051,6,0.9,0.0026764667670314923,0.0005854883966436032
4101,6,0.9,0.0026764667670314923,0.0005927148641410556
4151,6,0.9,0.0026764667670314923,0.0005999413316385081
4201,6,0.9,0.0026764667670314923,0.0006071677991359607
4251,6,0.9,0.0026764667670314923,0.0006143942666334133
4301,6,0.9,0.0026764667670314923,0.0006216207341308657
4351,6,0.9,0.0026764667670314923,0.0006288472016283183
4401,6,0.9,0.0026764667670314923,0.0006360736691257707
4451,6,0.9,0.0026764667670314923,0.0006433001366232232
4501,6,0.9,0.0026764667670314923,0.0006505266041206758
4551,6,0.9,0.0026764667670314923,0.0006577530716181283
4601,6,0.9,0.0026764667670314923,0.0006649795391155808
4651,6,0.9,0.0026764667670314923,0.0006722060066130334
4701,6,0.9,0.0026764667670314923,0.0006794324741104858
4751,6,0.9,0.0026764667670314923,0.0006866589416079384
4801,6,0.9,0.0026764667670314923,0.0006938854091053908
4851,6,0.9,0.0026764667670314923,0.0007011118766028435
4901,6,0.9,0.0026764667670314923,0.000708338344100296
4951,6,0.9,0.0026764667670314923,0.0007155648115977484
1,1,0.9,0.0028306587193061062,0.0028306587193061062
3301,6,0.9,0.0028306587193061062,0.0005045767439279341
3351,6,0.9,0.0028306587193061062,0.0005122195301128467
3401,6,0.9,0.0028306587193061062,0.0005198623162977594
3451,6,0.9,0.0028306587193061062,0.0005275051024826721
3501,6,0.9,0.0028306587193061062,0.0005351478886675848
3551,6,0.9,0.0028306587193061062,0.0005427906748524974
3601,6,0.9,0.0028306587193061062,0.0005504334610374101
3651,6,0.9,0.0028306587193061062,0.0005580762472223227
3701,6,0.9,0.0028306587193061062,0.0005657190334072354
3751,6,0.9,0.0028306587193061062,0.000573361819592148
3801,6,0.9,0.0028306587193061062,0.0005810046057770607
3851,6,0.9,0.0028306587193061062,0.0005886473919619734
3901,6,0.9,0.0028306587193061062,0.000596290178146886
3951,6,0.9,0.0028306587193061062,0.0006039329643317988
4001,6,0.9,0.0028306587193061062,0.0006115757505167113
4051,6,0.9,0.0028306587193061062,0.0006192185367016239
4101,6,0.9,0.0028306587193061062,0.0006268613228865368
4151,6,0.9,0.0028306587193061062,0.0006345041090714494
4201,6,0.9,0.0028306587193061062,0.000642146895256362
4251,6,0.9,0.0028306587193061062,0.0006497896814412747
4301,6,0.9,0.0028306587193061062,0.0006574324676261873
4351,6,0.9,0.0028306587193061062,0.0006650752538111001
4401,6,0.9,0.0028306587193061062,0.0006727180399960128
4451,6,0.9,0.0028306587193061062,0.0006803608261809253
4501,6,0.9,0.0028306587193061062,0.000688003612365838
4551,6,0.9,0.0028306587193061062,0.0006956463985507506
4601,6,0.9,0.0028306587193061062,0.0007032891847356632
4651,6,0.9,0.0028306587193061062,0.0007109319709205761
4701,6,0.9,0.0028306587193061062,0.0007185747571054887
4751,6,0.9,0.0028306587193061062,0.0007262175432904014
4801,6,0.9,0.0028306587193061062,0.0007338603294753139
4851,6,0.9,0.0028306587193061062,0.0007415031156602265
4901,6,0.9,0.0028306587193061062,0.0007491459018451394
4951,6,0.9,0.0028306587193061062,0.000756788688030052
1,1,0.9,0.0029937337103836327,0.0029937337103836327
3101,6,0.9,0.0029937337103836327,0.0005013131860517663
3151,6,0.9,0.0029937337103836327,0.0005093962751528913
3201,6,0.9,0.0029937337103836327,0.0005174793642540162
3251,6,0.9,0.0029937337103836327,0.0005255624533551411
3301,6,0.9,0.0029937337103836327,0.000533645542456266
3351,6,0.9,0.0029937337103836327,0.0005417286315573909
3401,6,0.9,0.0029937337103836327,0.0005498117206585158
3451,6,0.9,0.0029937337103836327,0.0005578948097596407
3501,6,0.9,0.0029937337103836327,0.0005659778988607656
3551,6,0.9,0.0029937337103836327,0.0005740609879618905
3601,6,0.9,0.0029937337103836327,0.0005821440770630154
3651,6,0.9,0.0029937337103836327,0.0005902271661641403
3701,6,0.9,0.0029937337103836327,0.0005983102552652652
3751,6,0.9,0.0029937337103836327,0.0006063933443663901
3801,6,0.9,0.0029937337103836327,0.000614476433467515
3851,6,0.9,0.0029937337103836327,0.0006225595225686399
3901,6,0.9,0.0029937337103836327,0.0006306426116697648
3951,6,0.9,0.0029937337103836327,0.0006387257007708897
4001,6,0.9,0.0029937337103836327,0.0006468087898720146
4051,6,0.9,0.0029937337103836327,0.0006548918789731395
4101,6,0.9,0.0029937337103836327,0.0006629749680742645
4151,6,0.9,0.0029937337103836327,0.0006710580571753893
4201,6,0.9,0.0029937337103836327,0.0006791411462765142
4251,6,0.9,0.0029937337103836327,0.0006872242353776392
4301,6,0.9,0.0029937337103836327,0.000695307324478764
4351,6,0.9,0.0029937337103836327,0.0007033904135798889
4401,6,0.9,0.0029937337103836327,0.0007114735026810139
4451,6,0.9,0.0029937337103836327,0.0007195565917821387
4501,6,0.9,0.0029937337103836327,0.0007276396808832636
4551,6,0.9,0.0029937337103836327,0.0007357227699843886
4601,6,0.9,0.0029937337103836327,0.0007438058590855134
4651,6,0.9,0.0029937337103836327,0.0007518889481866384
4701,6,0.9,0.0029937337103836327,0.0007599720372877633
4751,6,0.9,0.0029937337103836327,0.0007680551263888881
4801,6,0.9,0.0029937337103836327,0.0007761382154900131
4851,6,0.9,0.0029937337103836327,0.000784221304591138
4901,6,0.9,0.0029937337103836327,0.0007923043936922628
4951,6,0.9,0.0029937337103836327,0.0008003874827933878
1,1,0.9,0.003166203494458835,0.003166203494458835
2951,6,0.9,0.003166203494458835,0.0005045476962036888
3001,6,0.9,0.003166203494458835,0.0005130964541874857
3051,6,0.9,0.003166203494458835,0.0005216452121712824
3101,6,0.9,0.003166203494458835,0.0005301939701550794
3151,6,0.9,0.003166203494458835,0.0005387427281388762
3201,6,0.9,0.003166203494458835,0.000547291486122673
3251,6,0.9,0.003166203494458835,0.0005558402441064699
3301,6,0.9,0.003166203494458835,0.0005643890020902666
3351,6,0.9,0.003166203494458835,0.0005729377600740635
3401,6,0.9,0.003166203494458835,0.0005814865180578604
3451,6,0.9,0.003166203494458835,0.0005900352760416571
3501,6,0.9,0.003166203494458835,0.000598584034025454
3551,6,0.9,0.003166203494458835,0.0006071327920092509
3601,6,0.9,0.003166203494458835,0.0006156815499930477
3651,6,0.9,0.003166203494458835,0.0006242303079768444
3701,6,0.9,0.003166203494458835,0.0006327790659606413
3751,6,0.9,0.003166203494458835,0.0006413278239444381
3801,6,0.9,0.003166203494458835,0.0006498765819282348
3851,6,0.9,0.003166203494458835,0.0006584253399120318
3901,6,0.9,0.003166203494458835,0.0006669740978958286
3951,6,0.9,0.003166203494458835,0.0006755228558796254
4001,6,0.9,0.003166203494458835,0.0006840716138634223
4051,6,0.9,0.003166203494458835,0.0006926203718472192
4101,6,0.9,0.003166203494458835,0.0007011691298310159
4151,6,0.9,0.003166203494458835,0.0007097178878148127
4201,6,0.9,0.003166203494458835,0.0007182666457986095
4251,6,0.9,0.003166203494458835,0.0007268154037824063
4301,6,0.9,0.003166203494458835,0.0007353641617662033
4351,6,0.9,0.003166203494458835,0.00074391291975
4401,6,0.9,0.003166203494458835,0.0007524616777337969
4451,6,0.9,0.003166203494458835,0.0007610104357175937
4501,6,0.9,0.003166203494458835,0.0007695591937013906
4551,6,0.9,0.003166203494458835,0.0007781079516851872
4601,6,0.9,0.003166203494458835,0.0007866567096689842
4651,6,0.9,0.003166203494458835,0.000795205467652781
4701,6,0.9,0.003166203494458835,0.0008037542256365778
4751,6,0.9,0.003166203494458835,0.0008123029836203747
4801,6,0.9,0.003166203494458835,0.0008208517416041716
4851,6,0.9,0.003166203494458835,0.0008294004995879683
4901,6,0.9,0.003166203494458835,0.0008379492575717653
4951,6,0.9,0.003166203494458835,0.0008464980155555619
1,1,0.9,0.0033486093080198178,0.0033486093080198178
2801,6,0.9,0.0033486093080198178,0.0005064910587662877
2851,6,0.9,0.0033486093080198178,0.0005155323129391954
2901,6,0.9,0.0033486093080198178,0.000524573567112103
2951,6,0.9,0.0033486093080198178,0.0005336148212850107
3001,6,0.9,0.0033486093080198178,0.0005426560754579184
3051,6,0.9,0.0033486093080198178,0.0005516973296308262
3101,6,0.9,0.0033486093080198178,0.0005607385838037338
3151,6,0.9,0.0033486093080198178,0.0005697798379766415
3201,6,0.9,0.0033486093080198178,0.0005788210921495491
3251,6,0.9,0.0033486093080198178,0.0005878623463224568
3301,6,0.9,0.0033486093080198178,0.0005969036004953645
3351,6,0.9,0.0033486093080198178,0.0006059448546682722
3401,6,0.9,0.0033486093080198178,0.0006149861088411799
3451,6,0.9,0.0033486093080198178,0.0006240273630140875
3501,6,0.9,0.0033486093080198178,0.0006330686171869952
3551,6,0.9,0.0033486093080198178,0.0006421098713599028
3601,6,0.9,0.0033486093080198178,0.0006511511255328106
3651,6,0.9,0.0033486093080198178,0.0006601923797057181
3701,6,0.9,0.0033486093080198178,0.0006692336338786259
3751,6,0.9,0.0033486093080198178,0.0006782748880515334
3801,6,0.9,0.0033486093080198178,0.0006873161422244412
3851,6,0.9,0.0033486093080198178,0.000696357396397349
3901,6,0.9,0.0033486093080198178,0.0007053986505702566
3951,6,0.9,0.0033486093080198178,0.0007144399047431643
4001,6,0.9,0.0033486093080198178,0.0007234811589160719
4051,6,0.9,0.0033486093080198178,0.0007325224130889796
4101,6,0.9,0.0033486093080198178,0.0007415636672618871
4151,6,0.9,0.0033486093080198178,0.0007506049214347949
4201,6,0.9,0.0033486093080198178,0.0007596461756077026
4251,6,0.9,0.0033486093080198178,0.0007686874297806102
4301,6,0.9,0.0033486093080198178,0.0007777286839535179
4351,6,0.9,0.0033486093080198178,0.0007867699381264256
4401,6,0.9,0.0033486093080198178,0.0007958111922993333
4451,6,0.9,0.0033486093080198178,0.0008048524464722409
4501,6,0.9,0.0033486093080198178,0.0008138937006451487
4551,6,0.9,0.0033486093080198178,0.0008229349548180563
4601,6,0.9,0.0033486093080198178,0.000831976208990964
4651,6,0.9,0.0033486093080198178,0.0008410174631638716
4701,6,0.9,0.0033486093080198178,0.0008500587173367792
4751,6,0.9,0.0033486093080198178,0.0008590999715096869
4801,6,0.9,0.0033486093080198178,0.0008681412256825947
4851,6,0.9,0.0033486093080198178,0.0008771824798555022
4901,6,0.9,0.0033486093080198178,0.00088622373402841
4951,6,0.9,0.0033486093080198178,0.0008952649882013176
1,1,0.9,0.003541523568330688,0.003541523568330688
2651,6,0.9,0.003541523568330688,0.0005069837718845826
2701,6,0.9,0.003541523568330688,0.0005165458950811987
2751,6,0.9,0.003541523568330688,0.0005261080182778147
2801,6,0.9,0.003541523568330688,0.0005356701414744308
2851,6,0.9,0.003541523568330688,0.0005452322646710469
2901,6,0.9,0.003541523568330688,0.0005547943878676628
2951,6,0.9,0.003541523568330688,0.0005643565110642789
3001,6,0.9,0.003541523568330688,0.000573918634260895
3051,6,0.9,0.003541523568330688,0.000583480757457511
3101,6,0.9,0.003541523568330688,0.0005930428806541271
3151,6,0.9,0.003541523568330688,0.0006026050038507432
3201,6,0.9,0.003541523568330688,0.0006121671270473592
3251,6,0.9,0.003541523568330688,0.0006217292502439752
3301,6,0.9,0.003541523568330688,0.0006312913734405912
3351,6,0.9,0.003541523568330688,0.0006408534966372074
3401,6,0.9,0.003541523568330688,0.0006504156198338234
3451,6,0.9,0.003541523568330688,0.0006599777430304394
3501,6,0.9,0.003541523568330688,0.0006695398662270555
3551,6,0.9,0.003541523568330688,0.0006791019894236716
3601,6,0.9,0.003541523568330688,0.0006886641126202875
3651,6,0.9,0.003541523568330688,0.0006982262358169036
3701,6,0.9,0.003541523568330688,0.0007077883590135196
3751,6,0.9,0.003541523568330688,0.0007173504822101356
3801,6,0.9,0.003541523568330688,0.0007269126054067517
3851,6,0.9,0.003541523568330688,0.0007364747286033678
3901,6,0.9,0.003541523568330688,0.0007460368517999839
3951,6,0.9,0.003541523568330688,0.0007555989749965999
4001,6,0.9,0.003541523568330688,0.0007651610981932159
4051,6,0.9,0.003541523568330688,0.000774723221389832
4101,6,0.9,0.003541523568330688,0.0007842853445864479
4151,6,0.9,0.003541523568330688,0.000793847467783064
4201,6,0.9,0.003541523568330688,0.0008034095909796801
4251,6,0.9,0.003541523568330688,0.0008129717141762961
4301,6,0.9,0.003541523568330688,0.0008225338373729121
4351,6,0.9,0.003541523568330688,0.0008320959605695281
4401,6,0.9,0.003541523568330688,0.0008416580837661442
4451,6,0.9,0.003541523568330688,0.0008512202069627604
4501,6,0.9,0.003541523568330688,0.0008607823301593764
4551,6,0.9,0.003541523568330688,0.0008703444533559925
4601,6,0.9,0.003541523568330688,0.0008799065765526085
4651,6,0.9,0.003541523568330688,0.0008894686997492245
4701,6,0.9,0.003541523568330688,0.0008990308229458406
4751,6,0.9,0.003541523568330688,0.0009085929461424566
4801,6,0.9,0.003541523568330688,0.0009181550693390726
4851,6,0.9,0.003541523568330688,0.0009277171925356887
4901,6,0.9,0.003541523568330688,0.0009372793157323047
4951,6,0.9,0.003541523568330688,0.0009468414389289207
1,1,0.9,0.0037455516697642525,0.0037455516697642525
2501,6,0.9,0.0037455516697642525,0.0005058522410605819
2551,6,0.9,0.0037455516697642525,0.0005159652406819449
2601,6,0.9,0.0037455516697642525,0.000526078240303308
2651,6,0.9,0.0037455516697642525,0.0005361912399246712
2701,6,0.9,0.0037455516697642525,0.0005463042395460342
2751,6,0.9,0.0037455516697642525,0.0005564172391673974
2801,6,0.9,0.0037455516697642525,0.0005665302387887605
2851,6,0.9,0.0037455516697642525,0.0005766432384101235
2901,6,0.9,0.0037455516697642525,0.0005867562380314866
2951,6,0.9,0.0037455516697642525,0.0005968692376528496
3001,6,0.9,0.0037455516697642525,0.0006069822372742127
3051,6,0.9,0.0037455516697642525,0.0006170952368955759
3101,6,0.9,0.0037455516697642525,0.000627208236516939
3151,6,0.9,0.0037455516697642525,0.0006373212361383021
3201,6,0.9,0.0037455516697642525,0.0006474342357596652
3251,6,0.9,0.0037455516697642525,0.0006575472353810282
3301,6,0.9,0.0037455516697642525,0.0006676602350023914
3351,6,0.9,0.0037455516697642525,0.0006777732346237545
3401,6,0.9,0.0037455516697642525,0.0006878862342451175
3451,6,0.9,0.0037455516697642525,0.0006979992338664807
3501,6,0.9,0.0037455516697642525,0.0007081122334878436
3551,6,0.9,0.0037455516697642525,0.0007182252331092068
3601,6,0.9,0.0037455516697642525,0.0007283382327305699
3651,6,0.9,0.0037455516697642525,0.0007384512323519329
3701,6,0.9,0.0037455516697642525,0.0007485642319732961
3751,6,0.9,0.0037455516697642525,0.0007586772315946592
3801,6,0.9,0.0037455516697642525,0.0007687902312160223
3851,6,0.9,0.0037455516697642525,0.0007789032308373854
3901,6,0.9,0.0037455516697642525,0.0007890162304587485
3951,6,0.9,0.0037455516697642525,0.0007991292300801116
4001,6,0.9,0.0037455516697642525,0.0008092422297014747
4051,6,0.9,0.0037455516697642525,0.0008193552293228378
4101,6,0.9,0.0037455516697642525,0.0008294682289442009
4151,6,0.9,0.0037455516697642525,0.0008395812285655639
4201,6,0.9,0.0037455516697642525,0.000849694228186927
4251,6,0.9,0.0037455516697642525,0.0008598072278082901
4301,6,0.9,0.0037455516697642525,0.0008699202274296532
4351,6,0.9,0.0037455516697642525,0.0008800332270510163
4401,6,0.9,0.0037455516697642525,0.0008901462266723794
4451,6,0.9,0.0037455516697642525,0.0009002592262937425
4501,6,0.9,0.0037455516697642525,0.0009103722259151056
4551,6,0.9,0.0037455516697642525,0.0009204852255364687
4601,6,0.9,0.0037455516697642525,0.0009305982251578319
4651,6,0.9,0.0037455516697642525,0.0009407112247791949
4701,6,0.9,0.0037455516697642525,0.000950824224400558
4751,6,0.9,0.0037455516697642525,0.0009609372240219211
4801,6,0.9,0.0037455516697642525,0.0009710502236432841
4851,6,0.9,0.0037455516697642525,0.0009811632232646474
4901,6,0.9,0.0037455516697642525,0.0009912762228860103
4951,6,0.9,0.0037455516697642525,0.0010013892225073735
1,1,0.9,0.003961333883621868,0.003961333883621868
2351,6,0.9,0.003961333883621868,0.000502907684769015
2401,6,0.9,0.003961333883621868,0.0005136032969504061
2451,6,0.9,0.003961333883621868,0.0005242989091317974
2501,6,0.9,0.003961333883621868,0.0005349945213131886
2551,6,0.9,0.003961333883621868,0.0005456901334945797
2601,6,0.9,0.003961333883621868,0.000556385745675971
2651,6,0.9,0.003961333883621868,0.0005670813578573622
2701,6,0.9,0.003961333883621868,0.0005777769700387534
2751,6,0.9,0.003961333883621868,0.0005884725822201445
2801,6,0.9,0.003961333883621868,0.0005991681944015359
2851,6,0.9,0.003961333883621868,0.0006098638065829271
2901,6,0.9,0.003961333883621868,0.0006205594187643182
2951,6,0.9,0.003961333883621868,0.0006312550309457095
